home_name,away_name,event_coord_x,event_coord_y,shot_type,shot_subtype,three_point_shot,points_scored
Bears,Panthers,1028.0,308.0,layup,,false,2.0
Bears,Panthers,187.0,338.0,jump shot,,false,2.0
Bears,Tigers,78.0,291.0,dunk,,false,2.0
Bears,Tigers,78.0,290.0,layup,,false,2.0
Bears,Tigers,823.0,181.0,jump shot,,true,3.0
Bears,Tigers,285.0,128.0,jump shot,,true,3.0
Bears,Tigers,281.0,445.0,jump shot,,true,3.0
Bears,Tigers,240.0,311.0,jump shot,,false,2.0
Bears,Tigers,973.0,243.0,jump shot,,false,2.0
Bears,Tigers,384.0,287.0,jump shot,,true,3.0
Bears,Tigers,82.0,324.0,layup,,false,2.0
Bears,Tigers,1050.0,314.0,layup,,false,2.0
Bears,Tigers,65.0,320.0,layup,,false,2.0
Bears,Tigers,1051.0,283.0,layup,,false,2.0
Bears,Tigers,321.0,194.0,jump shot,,true,3.0
Bears,Wildcats,1034.0,257.0,layup,,false,2.0
Bears,Wildcats,328.0,249.0,jump shot,,true,3.0
Bears,Wildcats,120.0,514.0,jump shot,,false,2.0
Bears,Wildcats,1019.0,303.0,layup,driving,false,2.0
Bears,Mountaineers,875.0,384.0,jump shot,,false,2.0
Bears,Mountaineers,954.0,352.0,jump shot,,false,2.0
Bears,Mountaineers,150.0,296.0,jump shot,,false,2.0
Bears,Golden Eagles,118.0,296.0,layup,driving,false,2.0
Bears,Golden Eagles,44.0,557.0,jump shot,,true,3.0
Bears,Golden Eagles,92.0,296.0,dunk,putback,false,2.0
Bears,Golden Eagles,849.0,112.0,jump shot,,true,3.0
Bears,Golden Eagles,1062.0,23.0,jump shot,,true,3.0
Bears,Golden Eagles,82.0,327.0,layup,alley-oop,false,2.0
Bears,Golden Eagles,1034.0,270.0,layup,putback,false,2.0
Bears,Cowboys,1031.0,300.0,layup,,false,2.0
Bears,Cowboys,1030.0,451.0,jump shot,fadeaway,false,2.0
Bears,Cowboys,813.0,137.0,jump shot,pullup,true,3.0
Bears,Cowboys,146.0,39.0,jump shot,,true,3.0
Bears,Cowboys,92.0,334.0,layup,,false,2.0
Bears,Cowboys,205.0,524.0,jump shot,,true,3.0
Bears,Jaguars,1044.0,335.0,layup,,false,2.0
Bears,Jaguars,1031.0,252.0,layup,,false,2.0
Bears,Jaguars,89.0,257.0,layup,,false,2.0
